state,district,commodity,month,min_price,max_price,modal_price
Andhra Pradesh,Anantapur,Mousambi(Sweet Lime),2025-08-01,800.0,1700.0,1200.0
Andhra Pradesh,Chittor,Banana,2025-08-01,8000.0,10000.0,9000.0
Andhra Pradesh,Chittor,Brinjal,2025-08-01,1000.0,3000.0,2000.0
Andhra Pradesh,Chittor,Cabbage,2025-08-01,600.0,1000.0,800.0
Andhra Pradesh,Chittor,Cauliflower,2025-08-01,700.0,1100.0,900.0
Andhra Pradesh,Chittor,Cluster beans,2025-08-01,4000.0,6000.0,5000.0
Andhra Pradesh,Chittor,Green Chilli,2025-08-01,3000.0,5000.0,4000.0
Andhra Pradesh,Chittor,Potato,2025-08-01,1000.0,2000.0,1500.0
Andhra Pradesh,Chittor,Ridgeguard(Tori),2025-08-01,1500.0,2500.0,2000.0
Andhra Pradesh,Chittor,Tomato,2025-08-01,1841.6666666666667,2403.3333333333335,2116.6666666666665
Andhra Pradesh,Cuddapah,Groundnut,2025-08-01,5846.0,5846.0,5846.0
Andhra Pradesh,East Godavari,Banana,2025-08-01,2040.0,2828.5714285714284,2434.285714285714
Andhra Pradesh,Guntur,Black Gram (Urd Beans)(Whole),2025-08-01,6700.0,7000.0,6850.0
Andhra Pradesh,Guntur,Dry Chillies,2025-08-01,9500.0,14900.0,13500.0
Andhra Pradesh,Guntur,Lemon,2025-08-01,2300.0,3000.0,2600.0
Andhra Pradesh,Krishna,Maize,2025-08-01,2275.0,2400.0,2350.0
Andhra Pradesh,Krishna,Paddy(Dhan)(Common),2025-08-01,2400.0,2700.0,2550.0
Andhra Pradesh,Krishna,Rice,2025-08-01,4400.0,4700.0,4550.0
Andhra Pradesh,Kurnool,Arhar (Tur/Red Gram)(Whole),2025-08-01,3235.0,6340.0,6040.0
Andhra Pradesh,Kurnool,Bajra(Pearl Millet/Cumbu),2025-08-01,1100.0,2390.0,2390.0
Andhra Pradesh,Kurnool,Black Gram (Urd Beans)(Whole),2025-08-01,5697.0,7201.0,7201.0
Andhra Pradesh,Kurnool,Castor Seed,2025-08-01,5871.5,6212.0,6206.5
Andhra Pradesh,Kurnool,Cotton,2025-08-01,5310.0,7659.0,7289.0
Andhra Pradesh,Kurnool,Groundnut,2025-08-01,3619.0,7420.0,5930.0
Andhra Pradesh,Kurnool,Maize,2025-08-01,2079.0,2079.0,2079.0
Andhra Pradesh,Kurnool,Onion,2025-08-01,510.0,1200.0,825.0
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2025-08-01,2300.0,2300.0,2300.0
Andhra Pradesh,Kurnool,Tomato,2025-08-01,1500.0,3000.0,2200.0
Andhra Pradesh,Nellore,Groundnut,2025-08-01,6783.0,6830.0,6815.0
Andhra Pradesh,Nellore,Paddy(Dhan)(Common),2025-08-01,2300.0,2375.0,2325.0
Andhra Pradesh,Nellore,Wood,2025-08-01,5600.0,6000.0,5800.0
Andhra Pradesh,Visakhapatnam,Gur(Jaggery),2025-08-01,3783.3333333333335,3883.3333333333335,3833.3333333333335
Andhra Pradesh,West Godavari,Lemon,2025-08-01,2400.0,3200.0,2750.0
Andhra Pradesh,West Godavari,Lime,2025-08-01,1500.0,3600.0,2800.0
Bihar,Banka,Onion,2025-08-01,3000.0,3500.0,3200.0
Bihar,Bhojpur,Potato,2025-08-01,2000.0,2200.0,2100.0
Bihar,Madhubani,Onion,2025-08-01,2600.0,2800.0,2700.0
Bihar,Muzaffarpur,Wheat,2025-08-01,2570.0,2730.0,2680.0
Bihar,Rohtas,Potato,2025-08-01,1200.0,1400.0,1300.0
Chandigarh,Chandigarh,Apple,2025-08-01,5000.0,10000.0,8000.0
Chandigarh,Chandigarh,Bottle gourd,2025-08-01,1000.0,2000.0,1500.0
Chandigarh,Chandigarh,Cauliflower,2025-08-01,4000.0,7000.0,6000.0
Chandigarh,Chandigarh,Cucumbar(Kheera),2025-08-01,800.0,2000.0,1500.0
Chandigarh,Chandigarh,Ginger(Green),2025-08-01,2500.0,3500.0,3000.0
Chandigarh,Chandigarh,Green Chilli,2025-08-01,1500.0,3000.0,2300.0
Chandigarh,Chandigarh,Lemon,2025-08-01,2000.0,3500.0,2800.0
Chandigarh,Chandigarh,Mousambi(Sweet Lime),2025-08-01,2000.0,4000.0,3500.0
Chandigarh,Chandigarh,Onion,2025-08-01,800.0,1600.0,1200.0
Chandigarh,Chandigarh,Peas Wet,2025-08-01,6000.0,10000.0,8000.0
Chandigarh,Chandigarh,Pomegranate,2025-08-01,4000.0,12000.0,8000.0
Chandigarh,Chandigarh,Potato,2025-08-01,300.0,1500.0,1000.0
Chandigarh,Chandigarh,Pumpkin,2025-08-01,800.0,1500.0,1200.0
Chandigarh,Chandigarh,Tomato,2025-08-01,1600.0,4000.0,3200.0
Chattisgarh,Balodabazar,Paddy(Dhan)(Common),2025-08-01,2000.0,2000.0,2000.0
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),2025-08-01,1960.0,1995.0,1980.0
Chattisgarh,Durg,Onion,2025-08-01,2200.0,2600.0,2600.0
Chattisgarh,Durg,Potato,2025-08-01,1700.0,1800.0,1800.0
Chattisgarh,Durg,Tomato,2025-08-01,2000.0,2100.0,2000.0
Chattisgarh,Janjgir,Paddy(Dhan)(Common),2025-08-01,1700.0,1700.0,1700.0
Chattisgarh,Jashpur,Paddy(Dhan)(Common),2025-08-01,1900.0,1900.0,1900.0
Chattisgarh,Kanker,Bengal Gram(Gram)(Whole),2025-08-01,3000.0,3000.0,3000.0
Chattisgarh,Kanker,Maize,2025-08-01,2000.0,2000.0,2000.0
Chattisgarh,Kanker,Paddy(Dhan)(Common),2025-08-01,1912.5,1912.5,1912.5
Chattisgarh,Kondagaon,Maize,2025-08-01,1871.4285714285713,2000.0,1942.857142857143
Chattisgarh,Koria,Paddy(Dhan)(Common),2025-08-01,2330.0,2330.0,2330.0
Chattisgarh,Koria,Sugarcane,2025-08-01,350.0,350.0,350.0
Chattisgarh,Mahasamund,Paddy(Dhan)(Common),2025-08-01,1743.3333333333333,1793.3333333333333,1776.6666666666667
Chattisgarh,Raigarh,Onion,2025-08-01,1800.0,2200.0,2000.0
Chattisgarh,Raigarh,Paddy(Dhan)(Common),2025-08-01,1733.3333333333333,1733.3333333333333,1733.3333333333333
Chattisgarh,Raigarh,Potato,2025-08-01,1400.0,2000.0,1700.0
Chattisgarh,Raigarh,Tomato,2025-08-01,3500.0,4500.0,4000.0
Chattisgarh,Raipur,Maize,2025-08-01,1977.0,1977.0,1977.0
Chattisgarh,Raipur,Paddy(Dhan)(Common),2025-08-01,1911.0,1926.6666666666667,1919.6666666666667
Chattisgarh,Rajnandgaon,Soyabean,2025-08-01,3800.0,4000.0,3900.0
Chattisgarh,Surajpur,Paddy(Dhan)(Common),2025-08-01,2310.0,2310.0,2310.0
Goa,South Goa,Arecanut(Betelnut/Supari),2025-08-01,35866.666666666664,35866.666666666664,35866.666666666664
Goa,South Goa,Coconut,2025-08-01,255000.0,660000.0,457500.0
Gujarat,Ahmedabad,Banana - Green,2025-08-01,500.0,1000.0,750.0
Gujarat,Ahmedabad,Beetroot,2025-08-01,1200.0,2500.0,2000.0
Gujarat,Ahmedabad,Bhindi(Ladies Finger),2025-08-01,1500.0,3500.0,2850.0
Gujarat,Ahmedabad,Bitter gourd,2025-08-01,1000.0,2500.0,2200.0
Gujarat,Ahmedabad,Bottle gourd,2025-08-01,1000.0,3200.0,2350.0
Gujarat,Ahmedabad,Brinjal,2025-08-01,1000.0,3000.0,2250.0
Gujarat,Ahmedabad,Cabbage,2025-08-01,700.0,1500.0,1000.0
Gujarat,Ahmedabad,Capsicum,2025-08-01,3500.0,4500.0,4200.0
Gujarat,Ahmedabad,Carrot,2025-08-01,1500.0,3000.0,2400.0
Gujarat,Ahmedabad,Castor Seed,2025-08-01,6435.0,6480.0,6460.0
Gujarat,Ahmedabad,Cauliflower,2025-08-01,1500.0,3000.0,2350.0
Gujarat,Ahmedabad,Cucumbar(Kheera),2025-08-01,1200.0,3500.0,3000.0
Gujarat,Ahmedabad,Cummin Seed(Jeera),2025-08-01,16005.0,18100.0,17050.0
Gujarat,Ahmedabad,Drumstick,2025-08-01,4000.0,6500.0,5500.0
Gujarat,Ahmedabad,Elephant Yam (Suran),2025-08-01,3500.0,4000.0,3850.0
Gujarat,Ahmedabad,French Beans (Frasbean),2025-08-01,8000.0,10000.0,9000.0
Gujarat,Ahmedabad,Ginger(Green),2025-08-01,4000.0,6000.0,5350.0
Gujarat,Ahmedabad,Green Chilli,2025-08-01,800.0,2200.0,1850.0
Gujarat,Ahmedabad,Groundnut pods (raw),2025-08-01,2500.0,4000.0,3000.0
Gujarat,Ahmedabad,Guar,2025-08-01,2000.0,4500.0,3250.0
Gujarat,Ahmedabad,Lemon,2025-08-01,1500.0,4000.0,3000.0
Gujarat,Ahmedabad,Mango (Raw-Ripe),2025-08-01,5000.0,13000.0,5350.0
Gujarat,Ahmedabad,Onion,2025-08-01,1000.0,1550.0,1375.0
Gujarat,Ahmedabad,Onion Green,2025-08-01,800.0,1500.0,1200.0
Gujarat,Ahmedabad,Paddy(Dhan)(Common),2025-08-01,1880.0,2167.5,2025.0
Gujarat,Ahmedabad,Papaya (Raw),2025-08-01,800.0,1000.0,900.0
Gujarat,Ahmedabad,Peas Wet,2025-08-01,9000.0,12000.0,10500.0
Gujarat,Ahmedabad,Pointed gourd (Parval),2025-08-01,3000.0,3500.0,3300.0
Gujarat,Ahmedabad,Potato,2025-08-01,1000.0,1750.0,1600.0
Gujarat,Ahmedabad,Pumpkin,2025-08-01,500.0,700.0,600.0
Gujarat,Ahmedabad,"Sesamum(Sesame,Gingelly,Til)",2025-08-01,6750.0,9030.0,7890.0
Gujarat,Ahmedabad,Sweet Potato,2025-08-01,2000.0,3500.0,3000.0
Gujarat,Ahmedabad,Tinda,2025-08-01,3000.0,7500.0,3850.0
Gujarat,Ahmedabad,Tomato,2025-08-01,1500.0,2500.0,2200.0
Gujarat,Ahmedabad,Wheat,2025-08-01,2630.0,2760.0,2695.0
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),2025-08-01,4162.5,5625.0,5387.5
Gujarat,Amreli,Bajra(Pearl Millet/Cumbu),2025-08-01,1833.3333333333333,2990.0,2640.0
Gujarat,Amreli,Bengal Gram(Gram)(Whole),2025-08-01,4425.0,5800.0,5575.0
Gujarat,Amreli,Bhindi(Ladies Finger),2025-08-01,850.0,1550.0,1200.0
